Time,Temp1,Temp2,TempSurface,TempCenter,TempCalibration
0,750.3,750.3,234.6,191.8,750.2
1,750.4,750.3,253.8,201.3,750.3
2,750.0,749.6,262.7,206.1,750.8
3,750.4,750.3,271.7,210.1,750.9
4,749.7,750.2,280.4,214.7,748.8
5,750.2,750.3,298.1,223.4,749.9
6,749.6,750.3,306.2,227.4,749.5
7,750.5,750.4,314.5,231.4,751.2
8,750.1,750.2,322.1,235.2,749.1
9,750.3,749.5,337.8,243.1,749.7
10,749.9,750.1,345.5,247.5,750.7
11,749.7,749.8,353.1,251.2,750.5
12,749.5,750.4,360.3,254.5,749.8
13,749.6,750.3,374.5,261.9,750.6
14,750.4,750.1,380.8,266.1,750.7
15,750.4,750.5,387.2,269.8,749.8
16,750.1,749.9,393.7,273.2,750.9
17,750.3,749.6,405.6,280.8,750.8
18,749.9,750.3,411.6,284.8,749.5
19,750.2,749.6,418.1,288.4,749.4
20,750.2,749.9,424.0,291.7,749.7
21,749.6,750.5,435.5,298.8,749.8
22,749.9,749.9,441.3,302.1,749.0
23,750.1,750.4,447.0,305.1,750.5
24,750.1,749.9,452.2,308.0,750.7
25,749.6,749.8,462.5,315.1,748.8
26,749.6,750.3,467.2,318.0,749.8
27,749.9,749.5,471.8,321.0,749.0
28,749.7,750.5,476.7,324.6,750.0
29,750.2,749.8,485.8,330.8,751.2
30,750.4,749.7,490.3,334.3,749.5
31,749.7,750.1,494.9,337.0,750.4
32,750.4,749.8,499.2,340.0,750.2
33,750.5,749.6,507.0,346.0,750.6
34,750.4,750.4,511.3,349.0,751.0
35,750.2,749.6,515.0,351.5,749.6
36,749.7,750.4,518.9,354.6,749.2
37,749.6,750.1,527.0,360.8,749.5
38,750.0,750.3,531.2,363.6,749.3
39,749.5,750.3,534.5,366.6,750.1
40,750.0,749.7,537.9,369.0,749.6
41,749.9,749.6,544.8,373.9,750.8
42,749.6,750.3,548.0,376.8,748.7
43,750.1,750.2,550.9,379.3,750.4
44,750.2,750.2,553.9,381.8,751.0
45,749.6,749.9,560.8,387.1,749.7
46,750.0,749.8,564.1,389.2,750.7
47,749.5,750.4,566.7,391.2,749.3
48,750.4,749.6,569.7,393.2,749.8
49,749.9,750.3,574.7,398.2,749.2
50,749.5,749.9,577.5,400.2,750.3
51,750.3,750.3,580.6,403.1,751.1
52,749.9,750.2,583.7,405.6,748.9
53,750.4,750.0,589.2,410.7,750.7
